Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
181	:	1648016169.008	   181.330	0	0	0	0	./lj Ar_T=140_density=1_seed#=0 Ar 140 1 500 2000 0.025 0 1000 F
182	:	1648016169.336	   181.342	0	0	0	0	./lj Ar_T=140_density=1_seed#=1 Ar 140 1 500 2000 0.025 1 1000 F
183	:	1648016170.407	   183.042	0	0	0	0	./lj Ar_T=140_density=1_seed#=2 Ar 140 1 500 2000 0.025 2 1000 F
185	:	1648016173.331	   182.238	0	0	0	0	./lj Ar_T=140_density=1_seed#=4 Ar 140 1 500 2000 0.025 4 1000 F
184	:	1648016173.190	   183.738	0	0	0	0	./lj Ar_T=140_density=1_seed#=3 Ar 140 1 500 2000 0.025 3 1000 F
177	:	1648016155.325	   209.598	0	0	0	0	./lj Ar_T=110_density=10_seed#=5 Ar 110 10 500 2000 0.025 5 1000 F
186	:	1648016190.084	   182.066	0	0	0	0	./lj Ar_T=140_density=1_seed#=5 Ar 140 1 500 2000 0.025 5 1000 F
178	:	1648016165.379	   213.161	0	0	0	0	./lj Ar_T=110_density=10_seed#=6 Ar 110 10 500 2000 0.025 6 1000 F
180	:	1648016168.628	   211.230	0	0	0	0	./lj Ar_T=110_density=10_seed#=8 Ar 110 10 500 2000 0.025 8 1000 F
179	:	1648016168.597	   211.865	0	0	0	0	./lj Ar_T=110_density=10_seed#=7 Ar 110 10 500 2000 0.025 7 1000 F
187	:	1648016196.601	   183.944	0	0	0	0	./lj Ar_T=140_density=1_seed#=6 Ar 140 1 500 2000 0.025 6 1000 F
189	:	1648016200.184	   181.694	0	0	0	0	./lj Ar_T=140_density=1_seed#=8 Ar 140 1 500 2000 0.025 8 1000 F
190	:	1648016202.129	   181.416	0	0	0	0	./lj Ar_T=140_density=2_seed#=0 Ar 140 2 500 2000 0.025 0 1000 F
188	:	1648016199.934	   183.861	0	0	0	0	./lj Ar_T=140_density=1_seed#=7 Ar 140 1 500 2000 0.025 7 1000 F
191	:	1648016204.824	   181.381	0	0	0	0	./lj Ar_T=140_density=2_seed#=1 Ar 140 2 500 2000 0.025 1 1000 F
192	:	1648016209.825	   180.500	0	0	0	0	./lj Ar_T=140_density=2_seed#=2 Ar 140 2 500 2000 0.025 2 1000 F
193	:	1648016350.343	   180.482	0	0	0	0	./lj Ar_T=140_density=2_seed#=3 Ar 140 2 500 2000 0.025 3 1000 F
194	:	1648016350.683	   181.039	0	0	0	0	./lj Ar_T=140_density=2_seed#=4 Ar 140 2 500 2000 0.025 4 1000 F
195	:	1648016353.454	   180.631	0	0	0	0	./lj Ar_T=140_density=2_seed#=5 Ar 140 2 500 2000 0.025 5 1000 F
197	:	1648016356.933	   177.355	0	0	0	0	./lj Ar_T=140_density=2_seed#=7 Ar 140 2 500 2000 0.025 7 1000 F
196	:	1648016355.574	   180.264	0	0	0	0	./lj Ar_T=140_density=2_seed#=6 Ar 140 2 500 2000 0.025 6 1000 F
